Transaction_ID,User_ID,Date,Description,Category 1,Category 2,Category 3,Debit,Credit,Balance,Type
1,123,2021-01-01,Salary,Income,Income,Wages,0,8000,8000,C
7,123,2021-01-02,Car Loan Provider,Expense,Transport,Car Repayments,184.83,0,7815.17,D
23,123,2021-01-02,Uber,Expense,Transport,Taxies & Share Cars,183.57,0,7631.6,D
11,123,2021-01-03,The Lott,Expense,Leisure & Lifestyle,Lottery & Gambling,125.57,0,7506.03,D
20,123,2021-01-03,Shell,Expense,Transport,Fuel,242.76,0,7263.27,D
6,123,2021-01-05,Mortgage Lender,Expense,Household,Rent & Mortgage,324.94,0,6938.33,D
27,123,2021-01-07,Hungry Jack's,Expense,Leisure & Lifestyle,Restaurants & Cafes,398.42,0,6539.91,D
12,123,2021-01-09,Rooftop Bar,Expense,Leisure & Lifestyle,Pubs & Bars,64.7,0,6475.21,D
22,123,2021-01-09,Sydney Olympic Park,Expense,Transport,Parking,181.37,0,6293.84,D
19,123,2021-01-15,Toys R Us,Expense,Personal,Children & Family,455.88,0,5837.96,D
26,123,2021-01-15,Home Depot,Expense,Household,Maintenance & Improvements,397.43,0,5440.53,D
17,123,2021-01-16,TransLink,Expense,Transport,Public Transport,117.17,0,5323.36,D
25,123,2021-01-16,Tutoring Service,Expense,Personal,Education,130.62,0,5192.74,D
9,123,2021-01-17,Moshtix,Expense,Leisure & Lifestyle,Events & Gigs,468.94,0,4723.8,D
15,123,2021-01-18,Tobacco Store,Expense,Leisure & Lifestyle,Tobacco & Vaping,140.15,0,4583.65,D
4,123,2021-01-19,Medibank,Expense,Personal,Health & Medical,453.87,0,4129.78,D
5,123,2021-01-19,Cotton On,Expense,Personal,Clothing & Accessories,188.93,0,3940.85,D
2,123,2021-01-20,Qantas,Expense,Leisure & Lifestyle,Holidays & Travel,293.52,0,3647.33,D
8,123,2021-01-22,EnergyAustralia,Expense,Household,Utilities,467.35,0,3179.98,D
21,123,2021-01-25,Coles,Expense,Household,Groceries,279.3,0,2900.68,D
24,123,2021-01-25,United Petroleum,Expense,Transport,Fuel,487.34,0,2413.34,D
14,123,2021-01-27,Apple Music,Expense,Leisure & Lifestyle,"Tv, Music & Streaming",198.16,0,2215.18,D
3,123,2021-01-28,IGA,Expense,Household,Groceries,146.12,0,2069.06,D
10,123,2021-01-28,Optus,Expense,Personal,Mobile Phone,226.76,0,1842.3,D
13,123,2021-01-28,Uber,Expense,Transport,Taxies & Share Cars,382.23,0,1460.07,D
28,123,2021-01-28,TAB,Expense,Leisure & Lifestyle,Lottery & Gambling,239.2,0,1220.87,D
16,123,2021-01-29,Domino's Online,Expense,Leisure & Lifestyle,Takeaway,474.06,0,746.81,D
18,123,2021-01-29,BWS,Expense,Leisure & Lifestyle,Alcohol,229.87,0,516.94,D
29,123,2021-02-01,Salary,Income,Income,Wages,0,8000,8516.94,C
38,123,2021-02-03,Landlord,Expense,Household,Rent & Mortgage,469.93,0,8047.01,D
41,123,2021-02-03,Zara,Expense,Personal,Clothing & Accessories,106.93,0,7940.08,D
40,123,2021-02-06,Sports Equipment Store,Expense,Leisure & Lifestyle,Hobbies,25.55,0,7914.53,D
34,123,2021-02-07,Bicycle Network,Expense,Transport,Cycling,75.09,0,7839.44,D
43,123,2021-02-09,Moshtix,Expense,Leisure & Lifestyle,Events & Gigs,376.98,0,7462.46,D
30,123,2021-02-12,Bank Transfer,Transfer,Transfer,Transfer,249.49,0,7212.97,D
35,123,2021-02-13,Dan Murphy's,Expense,Leisure & Lifestyle,Alcohol,394.97,0,6818.0,D
31,123,2021-02-17,Ticketek,Expense,Leisure & Lifestyle,Events & Gigs,447.92,0,6370.08,D
36,123,2021-02-18,Myki,Expense,Transport,Public Transport,152.44,0,6217.64,D
37,123,2021-02-22,GoFundMe,Expense,Personal,Gifts & Donations,330.07,0,5887.57,D
39,123,2021-02-22,Flight Centre,Expense,Leisure & Lifestyle,Holidays & Travel,258.5,0,5629.07,D
33,123,2021-02-23,Stock Purchase,Expense,Personal,Investments,315.7,0,5313.37,D
42,123,2021-02-26,Booking.com,Expense,Leisure & Lifestyle,Holidays & Travel,182.46,0,5130.91,D
44,123,2021-02-27,Music Store,Expense,Leisure & Lifestyle,Hobbies,147.64,0,4983.27,D
32,123,2021-02-28,Lowe's,Expense,Household,Maintenance & Improvements,444.29,0,4538.98,D
45,123,2021-03-01,Salary,Income,Income,Wages,0,8000,12538.98,C
57,123,2021-03-07,Deliveroo,Expense,Leisure & Lifestyle,Takeaway,61.62,0,12477.36,D
50,123,2021-03-12,Bike Shop,Expense,Transport,Cycling,119.3,0,12358.06,D
51,123,2021-03-13,Bank Transfer,Transfer,Transfer,Transfer,399.71,0,11958.35,D
53,123,2021-03-14,Ticketmaster,Expense,Leisure & Lifestyle,Events & Gigs,319.84,0,11638.51,D
