product_type,,,,,snapshot_date,available_credit,available_fum,transaction_id,,transaction_effective_date,transaction_amount,credit_debit_indicator,statement_description,high_level_transaction_purpose,mid_level_transaction_purpose,low_level_transaction_purpose,transaction_code,merchant_id,product_type_credit_card,snapshot_date_credit_card,statement_due_day,closing_balance,minimum_repayment_amount,previous_repayment_date,previous_repayment_amount
personal loan,,,,,11/19/2023,806986.71,721404,1,,9/22/2023,3255.24,credit,leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu sapien,in porttitor pede justo eu massa donec dapibus duis at velit eu,quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a,nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis,382,6584,credit card,05-02-2023,15,627694.11,9158.12,9/26/2023,5199.92
home loan,,,,,09-09-2023,779609.7,955312.91,2,,4/27/2024,9710.98,debit,semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum,vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut,odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor,mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit amet,178,8665,credit card,8/18/2023,14,608133.91,7096.08,3/20/2024,3588.85
offset,,,,,01-07-2024,836983.44,82698.88,3,,2/26/2024,3475.93,credit,in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non,in congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst,lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in,eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus,135,1709,credit card,02-01-2024,27,90475.21,95.9,03-06-2024,8335.4
personal loan,,,,,1/19/2024,343153.69,277022.56,4,,10/24/2023,7621.01,credit,eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem,ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam,mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat,sem praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi,345,2613,credit card,1/17/2024,4,296655.16,4251.4,12-05-2023,3698.21
offset,,,,,08-01-2023,656426.27,453127.04,5,,06-03-2023,1724.91,debit,auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras,faucibus accumsan odio curabitur convallis duis consequat dui nec nisi,dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit,primis in faucibus orci luctus et ultrices posuere cubilia curae,813,4484,credit card,01-06-2024,11,472841.26,8149.47,07-01-2023,6349.54
offset,,,,,8/24/2023,992074.52,800170.28,6,,10-02-2023,8898.09,debit,maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque,est quam pharetra magna ac consequat metus sapien ut nunc vestibulum,lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum,venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet,237,7764,credit card,09-04-2023,22,731909.59,6356.37,11-05-2023,8415.7
credit card,,,,,7/22/2023,96509.34,942674.89,7,,01-12-2024,9384.58,credit,volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in hac,ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem,congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis,vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero,857,1523,credit card,1/25/2024,30,331342.15,3439.8,4/17/2024,6369.82
offset,,,,,5/14/2023,380625.54,616508.08,8,,9/20/2023,7476.89,debit,luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac,odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor quis,enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices,nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend,938,7907,credit card,2/13/2024,30,149444.53,5300.4,12/20/2023,4073.01
savings,,,,,12/18/2023,963872.43,915673.84,9,,12-10-2023,1127.57,credit,volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut,sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc,pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet,imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing,622,6980,credit card,05-12-2023,23,609187.91,4515.67,03-11-2024,2380.73
personal loan,,,,,10/19/2023,240055.58,915528.12,10,,05-04-2023,1902.66,credit,tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus,diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat,vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque,erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer,391,4468,credit card,05-09-2023,2,532862.57,7101.66,8/14/2023,8553.43
savings,,,,,7/25/2023,744982.92,749124.23,11,,1/30/2024,486.82,credit,nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum,nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi,interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec,nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula,781,8992,credit card,08-01-2023,24,161135.42,4294.58,8/16/2023,4665.13
credit card,,,,,01-05-2024,249681.3,529803.35,12,,3/13/2024,1474.28,credit,mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst,nam dui proin leo odio porttitor id consequat in consequat ut nulla,justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est,sed magna at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia,853,3343,credit card,04-01-2024,23,663207.81,8011.69,07-11-2023,3455.53
