Date,Transaction Description,Debit,Credit,Balance,Category 1,Category 2,Category 3,DR/CR
2020-01-01,Monthly Income,0,6000,6000,Income,Income,Wages,CR
2020-01-02,Stand Up Paddleboard Rental ,552,0,5448,Expense,Personal,Fitness & Wellbeing,DR
2020-01-03,ALDI ,435,0,5013,Expense,Household,Groceries,DR
2020-01-03,Surf Dive 'n Ski ,496,0,4517,Expense,Personal,Clothing & Accessories,DR
2020-01-03,Health Food Store ,273,0,4244,Expense,Personal,Fitness & Wellbeing,DR
2020-01-04,Ultra Tune ,187,0,4057,Expense,Transport,"Car Insurance, Rego & Maintenance",DR
2020-01-05,Harris Farm Markets ,282,0,3775,Expense,Household,Groceries,DR
2020-01-05,Hobart Brewing Company ,87,0,3688,Expense,Leisure & Lifestyle,Pubs & Bars,DR
2020-01-06, Metricon ,166,0,3522,Expense,Household,Maintenance & Improvements,DR
2020-01-10,Le Creuset ,351,0,3171,Expense,Household,"Furniture, Electronics & Homewares",DR
2020-01-10,Queensland Urban Utilities ,57,0,3114,Expense,Household,Utilities,DR
2020-01-10,Westpac Dividend Deposit ,85,0,3029,Income,Income,Investments,DR
2020-01-10,Pizza Hut ,177,0,2852,Expense,Leisure & Lifestyle,Takeaway,DR
2020-01-11,The Brisbane Hotel ,255,0,2597,Expense,Leisure & Lifestyle,Pubs & Bars,DR
2020-01-11,Montessori Schools ,41,0,2556,Expense,Personal,Education,DR
2020-01-11,Camp Australia ,102,0,2454,Expense,Leisure & Lifestyle,Hobbies,DR
2020-01-13,Jetts Fitness ,124,0,2330,Expense,Personal,Fitness & Wellbeing,DR
2020-01-14,Timezone ,150,0,2180,Expense,Leisure & Lifestyle,Entertainment,DR
2020-01-14,Goodstart Early Learning ,120,0,2060,Expense,Personal,Children & Family,DR
2020-01-18,ATO Tax Refund ,50,0,2010,Income,Income,Other Income,DR
2020-01-18,Physiotherapy Clinic ,168,0,1842,Expense,Personal,Health & Medical,DR
2020-01-22,The Good Guys ,9,0,1833,Expense,Household,"Furniture, Electronics & Homewares",DR
2020-01-22,The Rocks Bar and Pub ,171,0,1662,Expense,Leisure & Lifestyle,Pubs & Bars,DR
2020-01-22,AustralianSuper Pension ,106,0,1556,Income,Income,Other Income,DR
2020-01-26, Jim's Mowing ,72,0,1484,Expense,Household,Maintenance & Improvements,DR
2020-01-27,Campion Education ,72,0,1412,Expense,Personal,Children & Family,DR
2020-01-27,Centrelink JobSeeker Payment ,46,0,1366,Income,Income,Other Income,DR
2020-02-01,Monthly Income,0,6000,7366,Income,Income,Wages,CR
2020-02-02,Interest Payment from Commonwealth Bank ,117,0,7249,Income,Income,Investments,DR
2020-02-02,Toys 'R' Us ,449,0,6800,Expense,Personal,CHildren & Family,DR
2020-02-02,T2 Tea ,578,0,6222,Expense,Personal,Fitness & Wellbeing,DR
2020-02-03,Surf Dive 'n Ski ,299,0,5923,Expense,Personal,Clothing & Accessories,DR
2020-02-03,Little Athletics ,38,0,5885,Expense,Personal,Fitness & Wellbeing,DR
2020-02-03,Shell V Power,513,0,5372,Expense,Transport,Fuel,DR
2020-02-04,Priceline Pharmacy ,128,0,5244,Expense,Personal,Health & Medical,DR
2020-02-04,Stan ,344,0,4900,Expense,Leisure & Lifestyle,"Tv, Music & Streaming",DR
2020-02-04,CommSec Share Trading Gains ,90,0,4810,Income,Income,Investments,DR
2020-02-04,Beachfront Markets ,179,0,4631,Expense,Personal,Clothing & Accessories,DR
2020-02-06,Fernwood Fitness ,450,0,4181,Expense,Personal,Fitness & Wellbeing,DR
2020-02-06,Ladbrokes ,394,0,3787,Expense,Leisure & Lifestyle,Lottery & Gambling,DR
2020-02-07,Local Fish and Chips ,280,0,3507,Expense,Leisure & Lifestyle,Takeaway,DR
2020-02-07,Fernwood Fitness ,95,0,3412,Expense,Personal,Fitness & Wellbeing,DR
2020-02-09,Sea Kayak Tours ,62,0,3350,Expense,Leisure & Lifestyle,Holidays & Travel,DR
2020-02-09,Gold's Gym ,330,0,3020,Expense,Personal,Fitness & Wellbeing,DR
2020-02-11,Quay Restaurant ,179,0,2841,Expense,Leisure & Lifestyle,Pubs & Bars,DR
2020-02-11, Fantastic Furniture ,23,0,2818,Expense,Household,"Furniture, Electronics & Homewares",DR
2020-02-11, National Bank ,141,0,2677,Expense,Personal,Fees & Charges,DR
2020-02-12,Chiropractor ,149,0,2528,Expense,Personal,Health & Medical,DR
2020-02-12,Acupuncture Clinic ,136,0,2392,Expense,Personal,Health & Medical,DR
2020-02-13,Village Cinemas ,37,0,2355,Expense,Leisure & Lifestyle,Entertainment,DR
2020-02-14,City Beach ,159,0,2196,Expense,Personal,Clothing & Accessories,DR
