Date,Transaction Description,Debit,Credit,Balance,Category 1,Category 2,Category 3,DR/CR
1/1/2020,Monthly Income,0,6000,6000,Income,Income,Wages,CR
2/1/2020,Stand Up Paddleboard Rental ,552,0,5448,Expense,Personal,Fitness & Wellbeing,DR
3/1/2020,ALDI ,435,0,5013,Expense,Household,Groceries,DR
3/1/2020,Surf Dive 'n Ski ,496,0,4517,Expense,Personal,Clothing & Accessories,DR
3/1/2020,Health Food Store ,273,0,4244,Expense,Personal,Fitness & Wellbeing,DR
4/1/2020,Ultra Tune ,187,0,4057,Expense,Transport,"Car Insurance, Rego & Maintenance",DR
5/1/2020,Harris Farm Markets ,282,0,3775,Expense,Household,Groceries,DR
5/1/2020,Hobart Brewing Company ,87,0,3688,Expense,Leisure & Lifestyle,Pubs & Bars,DR
6/1/2020, Metricon ,166,0,3522,Expense,Household,Maintenance & Improvements,DR
10/1/2020,Le Creuset ,351,0,3171,Expense,Household,"Furniture, Electronics & Homewares",DR
10/1/2020,Queensland Urban Utilities ,57,0,3114,Expense,Household,Utilities,DR
10/1/2020,Westpac Dividend Deposit ,85,0,3029,Income,Income,Investments,DR
10/1/2020,Pizza Hut ,177,0,2852,Expense,Leisure & Lifestyle,Takeaway,DR
11/1/2020,The Brisbane Hotel ,255,0,2597,Expense,Leisure & Lifestyle,Pubs & Bars,DR
11/1/2020,Montessori Schools ,41,0,2556,Expense,Personal,Education,DR
11/1/2020,Camp Australia ,102,0,2454,Expense,Leisure & Lifestyle,Hobbies,DR
13/1/2020,Jetts Fitness ,124,0,2330,Expense,Personal,Fitness & Wellbeing,DR
14/1/2020,Timezone ,150,0,2180,Expense,Leisure & Lifestyle,Entertainment,DR
14/1/2020,Goodstart Early Learning ,120,0,2060,Expense,Personal,Children & Family,DR
18/1/2020,ATO Tax Refund ,50,0,2010,Income,Income,Other Income,DR
18/1/2020,Physiotherapy Clinic ,168,0,1842,Expense,Personal,Health & Medical,DR
22/1/2020,The Good Guys ,9,0,1833,Expense,Household,"Furniture, Electronics & Homewares",DR
22/1/2020,The Rocks Bar and Pub ,171,0,1662,Expense,Leisure & Lifestyle,Pubs & Bars,DR
22/1/2020,AustralianSuper Pension ,106,0,1556,Income,Income,Other Income,DR
26/1/2020, Jim's Mowing ,72,0,1484,Expense,Household,Maintenance & Improvements,DR
27/1/2020,Campion Education ,72,0,1412,Expense,Personal,Children & Family,DR
27/1/2020,Centrelink JobSeeker Payment ,46,0,1366,Income,Income,Other Income,DR
28/1/2020,Negative outflow,2000,0,-634,Expense,Personal,Life Admin,DH
1/2/2020,Monthly Income,0,6000,5366,Income,Income,Wages,CR
2/2/2020,Interest Payment from Commonwealth Bank ,117,0,5249,Income,Income,Investments,DR
2/2/2020,Toys 'R' Us ,449,0,4800,Expense,Personal,CHildren & Family,DR
2/2/2020,T2 Tea ,578,0,4222,Expense,Personal,Fitness & Wellbeing,DR
3/2/2020,Surf Dive 'n Ski ,299,0,3923,Expense,Personal,Clothing & Accessories,DR
3/2/2020,Little Athletics ,38,0,3885,Expense,Personal,Fitness & Wellbeing,DR
3/2/2020,Shell V Power,513,0,3372,Expense,Transport,Fuel,DR
4/2/2020,Priceline Pharmacy ,128,0,3244,Expense,Personal,Health & Medical,DR
4/2/2020,Stan ,344,0,2900,Expense,Leisure & Lifestyle,"Tv, Music & Streaming",DR
4/2/2020,CommSec Share Trading Gains ,90,0,2810,Income,Income,Investments,DR
4/2/2020,Beachfront Markets ,179,0,2631,Expense,Personal,Clothing & Accessories,DR
6/2/2020,Fernwood Fitness ,450,0,2181,Expense,Personal,Fitness & Wellbeing,DR
6/2/2020,Ladbrokes ,394,0,1787,Expense,Leisure & Lifestyle,Lottery & Gambling,DR
7/2/2020,Local Fish and Chips ,280,0,1507,Expense,Leisure & Lifestyle,Takeaway,DR
7/2/2020,Fernwood Fitness ,95,0,1412,Expense,Personal,Fitness & Wellbeing,DR
9/2/2020,Sea Kayak Tours ,62,0,1350,Expense,Leisure & Lifestyle,Holidays & Travel,DR
9/2/2020,Gold's Gym ,330,0,1020,Expense,Personal,Fitness & Wellbeing,DR
11/2/2020,Quay Restaurant ,179,0,841,Expense,Leisure & Lifestyle,Pubs & Bars,DR
11/2/2020, Fantastic Furniture ,23,0,818,Expense,Household,"Furniture, Electronics & Homewares",DR
11/2/2020, National Bank ,141,0,677,Expense,Personal,Fees & Charges,DR
