Date,Consolidated,Description,Catgory 1,Category 2,Category 3,Debit,Credit,Balance,DR/CR
1/1/2020,Monthly Income,Monthly Income,Income,Income,Wages,0,6000,6000,CR
2/1/2020,EnergyAustralia /Expense/Household/Utilities,EnergyAustralia ,Expense,Household,Utilities,473,0,5527,DR
2/1/2020,Timezone /Expense/Leisure & Lifestyle/Entertainment,Timezone ,Expense,Leisure & Lifestyle,Entertainment,418,0,5109,DR
3/1/2020,Hungry Jack’s /Expense/Leisure & Lifestyle/Takeaway,Hungry Jack’s ,Expense,Leisure & Lifestyle,Takeaway,208,0,4901,DR
3/1/2020, BSA Ltd /Expense/Household/Maintenance & Improvements, BSA Ltd ,Expense,Household,Maintenance & Improvements,193,0,4708,DR
5/1/2020,Medicare Claim /Expense/Personal/Health & Medical,Medicare Claim ,Expense,Personal,Health & Medical,470,0,4238,DR
5/1/2020,Hungry Jack’s /Expense/Leisure & Lifestyle/Takeaway,Hungry Jack’s ,Expense,Leisure & Lifestyle,Takeaway,344,0,3894,DR
5/1/2020,"Budget Direct Car Insurance /Expense/Transport/Car Insurance, Rego & Maintenance",Budget Direct Car Insurance ,Expense,Transport,"Car Insurance, Rego & Maintenance",253,0,3641,DR
6/1/2020,Optometrist /Expense/Personal/Health & Medical,Optometrist ,Expense,Personal,Health & Medical,207,0,3434,DR
7/1/2020,Payday Advance /Income/Income/Other Income,Payday Advance ,Income,Income,Other Income,272,0,3162,DR
8/1/2020,Tennis Australia /Expense/Personal/Fitness & Wellbeing,Tennis Australia ,Expense,Personal,Fitness & Wellbeing,170,0,2992,DR
8/1/2020,McDonald’s /Expense/Leisure & Lifestyle/Takeaway,McDonald’s ,Expense,Leisure & Lifestyle,Takeaway,277,0,2715,DR
9/1/2020,Mathnasium /Expense/Personal/Education,Mathnasium ,Expense,Personal,Education,259,0,2456,DR
9/1/2020,Boost Juice Bars /Expense/Leisure & Lifestyle/Takeaway,Boost Juice Bars ,Expense,Leisure & Lifestyle,Takeaway,107,0,2349,DR
9/1/2020,Sylvan Learning /Expense/Personal/Education,Sylvan Learning ,Expense,Personal,Education,204,0,2145,DR
11/1/2020,Gold's Gym /Expense/Personal/Fitness & Wellbeing,Gold's Gym ,Expense,Personal,Fitness & Wellbeing,88,0,2057,DR
11/1/2020,ATO Tax Refund /Income/Income/Other Income,ATO Tax Refund ,Income,Income,Other Income,136,0,1921,DR
11/1/2020,"Green Slip Insurance /Expense/Transport/Car Insurance, Rego & Maintenance",Green Slip Insurance ,Expense,Transport,"Car Insurance, Rego & Maintenance",173,0,1748,DR
13/1/2020,Menulog /Expense/Leisure & Lifestyle/Takeaway,Menulog ,Expense,Leisure & Lifestyle,Takeaway,156,0,1592,DR
13/1/2020,ALDI /Expense/Household/Groceries,ALDI ,Expense,Household,Groceries,90,0,1502,DR
15/1/2020,Zarraffa's Coffee /Expense/Leisure & Lifestyle/Restaurants & Cafes,Zarraffa's Coffee ,Expense,Leisure & Lifestyle,Restaurants & Cafes,36,0,1466,DR
15/1/2020,"JAX Tyres /Expense/Transport/Car Insurance, Rego & Maintenance",JAX Tyres ,Expense,Transport,"Car Insurance, Rego & Maintenance",99,0,1367,DR
15/1/2020,Target /Expense/Personal/Clothing & Accessories,Target ,Expense,Personal,Clothing & Accessories,135,0,1232,DR
17/1/2020,Guzman y Gomez /Expense/Leisure & Lifestyle/Takeaway,Guzman y Gomez ,Expense,Leisure & Lifestyle,Takeaway,52,0,1180,DR
17/1/2020,"Stan /Expense/Leisure & Lifestyle/Tv, Music & Streaming",Stan ,Expense,Leisure & Lifestyle,"Tv, Music & Streaming",67,0,1113,DR
18/1/2020,Childcare Payments /Expense/Personal/Children & Family,Childcare Payments ,Expense,Personal,Children & Family,63,0,1050,DR
19/1/2020,ATO Tax Refund /Income/Income/Other Income,ATO Tax Refund ,Income,Income,Other Income,74,0,976,DR
19/1/2020,Hungry Jack’s /Expense/Leisure & Lifestyle/Takeaway,Hungry Jack’s ,Expense,Leisure & Lifestyle,Takeaway,48,0,928,DR
21/1/2020,David Jones /Expense/Personal/Clothing & Accessories,David Jones ,Expense,Personal,Clothing & Accessories,79,0,849,DR
22/1/2020,Boost Juice Bars /Expense/Leisure & Lifestyle/Takeaway,Boost Juice Bars ,Expense,Leisure & Lifestyle,Takeaway,28,0,821,DR
24/1/2020,Upwork Freelancer Payment /Income/Income/Other Income,Upwork Freelancer Payment ,Income,Income,Other Income,79,0,742,DR
24/1/2020, Metricon /Expense/Household/Maintenance & Improvements, Metricon ,Expense,Household,Maintenance & Improvements,65,0,677,DR
24/1/2020,Karate for Kids /Expense/Personal/Fitness & Wellbeing,Karate for Kids ,Expense,Personal,Fitness & Wellbeing,47,0,630,DR
25/1/2020,Local Fish and Chips /Expense/Leisure & Lifestyle/Takeaway,Local Fish and Chips ,Expense,Leisure & Lifestyle,Takeaway,22,0,608,DR
26/1/2020,Gold's Gym /Expense/Personal/Fitness & Wellbeing,Gold's Gym ,Expense,Personal,Fitness & Wellbeing,57,0,551,DR
26/1/2020,Chinatown Night Market /Expense/Leisure & Lifestyle/Pubs & Bars,Chinatown Night Market ,Expense,Leisure & Lifestyle,Pubs & Bars,49,0,502,DR
26/1/2020,Menulog /Expense/Leisure & Lifestyle/Takeaway,Menulog ,Expense,Leisure & Lifestyle,Takeaway,7,0,495,DR
1/2/2020,Monthly Income,Monthly Income,Income,Income,Wages,0,6000,6495,CR
2/2/2020,Sea Life Aquarium /Expense/Leisure & Lifestyle/Entertainment,Sea Life Aquarium ,Expense,Leisure & Lifestyle,Entertainment,342,0,6153,DR
2/2/2020,Boost Juice Bars /Expense/Leisure & Lifestyle/Takeaway,Boost Juice Bars ,Expense,Leisure & Lifestyle,Takeaway,269,0,5884,DR
2/2/2020,Surf Dive 'n Ski /Expense/Personal/Clothing & Accessories,Surf Dive 'n Ski ,Expense,Personal,Clothing & Accessories,138,0,5746,DR
3/2/2020,JB HiFi/Expense/Leisure & Lifestyle/Electronics,JB HiFi,Expense,Leisure & Lifestyle,Electronics,401,0,5345,DR
3/2/2020,Health Food Store /Expense/Personal/Fitness & Wellbeing,Health Food Store ,Expense,Personal,Fitness & Wellbeing,132,0,5213,DR
3/2/2020,Apple Store /Expense/Leisure & Lifestyle/Electronics,Apple Store ,Expense,Leisure & Lifestyle,Electronics,324,0,4889,DR
6/2/2020,Witchery /Expense/Personal/Clothing & Accessories,Witchery ,Expense,Personal,Clothing & Accessories,157,0,4732,DR
7/2/2020,"Green Slip Insurance /Expense/Transport/Car Insurance, Rego & Maintenance",Green Slip Insurance ,Expense,Transport,"Car Insurance, Rego & Maintenance",96,0,4636,DR
8/2/2020,"Adairs /Expense/Household/Furniture, Electronics & Homewares",Adairs ,Expense,Household,"Furniture, Electronics & Homewares",291,0,4345,DR
8/2/2020,Sydney Water /Expense/Household/Utilities,Sydney Water ,Expense,Household,Utilities,336,0,4009,DR
9/2/2020,Culture Kings /Expense/Personal/Clothing & Accessories,Culture Kings ,Expense,Personal,Clothing & Accessories,311,0,3698,DR
10/2/2020,Grill’d /Expense/Leisure & Lifestyle/Takeaway,Grill’d ,Expense,Leisure & Lifestyle,Takeaway,327,0,3371,DR
11/2/2020,Chinatown Night Market /Expense/Leisure & Lifestyle/Pubs & Bars,Chinatown Night Market ,Expense,Leisure & Lifestyle,Pubs & Bars,7,0,3364,DR
11/2/2020,Optometrist /Expense/Personal/Health & Medical,Optometrist ,Expense,Personal,Health & Medical,163,0,3201,DR
11/2/2020,Soccer Clubs /Expense/Personal/Fitness & Wellbeing,Soccer Clubs ,Expense,Personal,Fitness & Wellbeing,260,0,2941,DR
12/2/2020,Health Food Store /Expense/Personal/Fitness & Wellbeing,Health Food Store ,Expense,Personal,Fitness & Wellbeing,246,0,2695,DR
13/2/2020,Bulk Billing Doctor /Expense/Personal/Health & Medical,Bulk Billing Doctor ,Expense,Personal,Health & Medical,105,0,2590,DR
